,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
701,Maruti Suzuki Alto,PLATINUM,Bangalore,352199,22584,Petrol,1st,2015,Maruti
702,Maruti Suzuki Baleno,PLATINUM,Bangalore,566899,22394,Petrol,2nd,2017,Maruti
703,Maruti Suzuki Dzire,PLATINUM,Chennai,650699,93563,Diesel,2nd,2017,Maruti
704,Maruti Suzuki Eeco,PLATINUM,Chennai,413399,10537,Petrol,2nd,2017,Maruti
705,Ford Ecosport ,PLATINUM,Chennai,645799,81515,Diesel,1st,2016,Ford
706,Jeep Compass ,PLATINUM,Chennai,1551499,24676,Diesel,2nd,2017,Jeep
707,Maruti Suzuki Alto,PLATINUM,Pune,333699,11917,Petrol,2nd,2017,Maruti
708,Maruti Suzuki Ertiga,PLATINUM,Pune,811799,69654,Diesel,2nd,2016,Maruti
709,Maruti Suzuki Alto,PLATINUM,Pune,406899,16226,Petrol,2nd,2017,Maruti
710,Ford Ecosport ,PLATINUM,Pune,727299,8925,Petrol,2nd,2018,Ford
711,Honda Jazz ,PLATINUM,Bangalore,657399,27819,Petrol,2nd,2016,Honda
712,Hyundai Grand i10,PLATINUM,Bangalore,637599,26543,Petrol,2nd,2020,Hyundai
713,Maruti Suzuki Dzire,PLATINUM,Bangalore,623799,90088,Petrol,2nd,2017,Maruti
714,Maruti Suzuki Eeco,PLATINUM,Chennai,422899,34258,Petrol,2nd,2018,Maruti
715,Hyundai i20 Active,PLATINUM,Chennai,576099,101744,Petrol,2nd,2015,Hyundai
716,Jeep Compass ,PLATINUM,Pune,1987699,19830,Petrol,2nd,2019,Jeep
717,MG Motors Hector,PLATINUM,Pune,1652199,13636,Petrol,1st,2019,MG
718,Hyundai Venue ,PLATINUM,Bangalore,1217499,21393,Petrol,2nd,2019,Hyundai
719,Hyundai Creta ,PLATINUM,Pune,1198299,76915,Diesel,2nd,2017,Hyundai
720,Hyundai Grand i10,PLATINUM,Chennai,590799,16300,Petrol,2nd,2018,Hyundai
721,Hyundai Elite i20,PLATINUM,Pune,844999,40106,Diesel,2nd,2019,Hyundai
722,Renault Kwid RXT,PLATINUM,Bangalore,328499,66461,Petrol,1st,2015,Renault
723,Hyundai Creta ,PLATINUM,Pune,769599,48182,Petrol,2nd,2016,Hyundai
724,Hyundai Elite i20,PLATINUM,Bangalore,654299,41816,Petrol,1st,2017,Hyundai
725,Hyundai i20 ,PLATINUM,Chennai,395699,73841,Petrol,2nd,2012,Hyundai
726,Renault Kwid RxL,PLATINUM,Chennai,294799,19908,Petrol,3rd,2016,Renault
727,Hyundai Elite i20,PLATINUM,Chennai,534499,26226,Petrol,1st,2018,Hyundai
728,Maruti Suzuki Baleno,PLATINUM,Chennai,681399,43287,Petrol,2nd,2016,Maruti
729,Datsun Redi GO,PLATINUM,Bangalore,415699,26527,Petrol,2nd,2018,Datsun
730,Maruti Suzuki Alto,PLATINUM,Bangalore,300199,37801,Petrol,3rd,2017,Maruti
731,Maruti Suzuki Vitara,PLATINUM,Chennai,856699,54044,Diesel,2nd,2017,Maruti
732,Ford Figo Aspire,PLATINUM,Pune,481399,29632,Petrol,2nd,2017,Ford
733,Hyundai i10 Magna,GOLD,Bangalore,229000,65000,Petrol,1st,2014,Hyundai
734,Jeep Compass Limited,GOLD,Mahasamund,1750000,31000,Diesel,1st,2017,Jeep
735,Jeep Compass Limited,GOLD,Bilaspur,1750000,31000,Diesel,1st,2017,Jeep
736,Jeep Compass Limited,GOLD,Jagdalpur,1750000,31000,Diesel,1st,2017,Jeep
