,Name,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
482,Maruti Suzuki Celerio,PLATINUM,Bangalore,457399,77128,Petrol,3rd,2016,Maruti
483,Maruti Suzuki Alto,PLATINUM,Bangalore,316799,36306,Petrol,1st,2016,Maruti
484,Hyundai i20 Asta,PLATINUM,Bangalore,399999,83803,Petrol,1st,2011,Hyundai
485,Mahindra XUV 500,GOLD,Mumbai,1100000,44000,Diesel,1st,2018,Mahindra
486,Honda City 1.5,GOLD,Kolkata,990888,700,Petrol,1st,2020,Honda
487,Hyundai i20 Asta,PLATINUM,Bangalore,399999,83803,Petrol,1st,2011,Hyundai
488,Hyundai Creta 1.6,PLATINUM,Chennai,841499,75398,Petrol,2nd,2017,Hyundai
489,Honda City ZX,PLATINUM,Bangalore,1016899,42317,Petrol,1st,2017,Honda
490,Maruti Suzuki Swift,PLATINUM,Bangalore,748599,60214,Diesel,2nd,2018,Maruti
491,Maruti Suzuki Swift,PLATINUM,Pune,622099,58861,Diesel,2nd,2017,Maruti
492,Volkswagen Polo ,PLATINUM,Pune,530699,27995,Petrol,2nd,2016,Volkswagen
493,Maruti Suzuki Celerio,PLATINUM,Bangalore,471899,61018,Petrol,2nd,2017,Maruti
494,Maruti Suzuki Swift,PLATINUM,Chennai,505399,67109,Petrol,2nd,2015,Maruti
495,Maruti Suzuki Wagon,PLATINUM,Chennai,460299,81811,Petrol,2nd,2017,Maruti
496,Hyundai Verna 1.6,PLATINUM,Pune,683999,27357,Petrol,1st,2017,Hyundai
497,Volkswagen Polo HIGHLINE1.2L,PLATINUM,Bangalore,639699,53293,Petrol,3rd,2018,Volkswagen
498,Maruti Suzuki Celerio,PLATINUM,Bangalore,510499,45260,Petrol,2nd,2017,Maruti
499,Hyundai Venue ,PLATINUM,Pune,1185499,3139,Petrol,2nd,2019,Hyundai
500,Maruti Suzuki Celerio,PLATINUM,Bangalore,471899,44690,Petrol,1st,2017,Maruti
501,Hyundai Santro ASTA,PLATINUM,Bangalore,579899,13858,Petrol,1st,2019,Hyundai
502,Maruti Suzuki Alto,PLATINUM,Bangalore,333699,25256,Petrol,2nd,2017,Maruti
503,Maruti Suzuki Ciaz,GOLD,Delhi,590000,44100,Hybrid,1st,2016,Maruti
504,Honda Amaze 1.2,GOLD,Kolkata,375888,47000,Petrol,1st,2016,Honda
